Profiler Report
src/managers/lobby_storage_manager.lua:_getItemBaseData 3
src/managers/item_data_manager.lua:_getItemBaseData 4
src/managers/input_manager.lua:getMousePosition 452
src/managers/player_manager.lua:getTargetPosition 452
src/managers/drop_manager.lua:drawFunction 1
src/managers/player_manager.lua:updateFloatingTexts 904
src/entities/drop_entity.lua:draw        1
[C]:newMesh                              26
src/entities/drop_entity.lua:_drawShockwave 1
[C]:fmod                                 1
[C]:circle                               3627
[C]:arc                                  1
src/config/camera.lua:detach             453
src/managers/player_manager.lua:drawFloatingTexts 453
src/managers/manager_registry.lua:draw   453
src/managers/player_manager.lua:draw     453
src/config/camera.lua:worldToScreen      907
[C]:randomseed                           136
src/ui/screens/inventory_screen.lua:update 452
src/managers/input_manager.lua:mousemoved 24
src/scenes/gameplay_scene.lua:mousemoved 24
src/managers/chunk_manager.lua:initialize 1
src/managers/chunk_manager.lua:collectRenderables 453
src/ui/screens/portal_screen.lua:lerp    567
src/managers/loadout_manager.lua:_createEmptyGrid 1
[C]:max                                  7942
[C]:next                                 458
[C]:maxn                                 2
[C]:send                                 994
src/libs/lovebird.lua:send               234
src/managers/hunter_manager.lua:new      1
src/managers/hunter_manager.lua:loadState 1
src/core/scene_manager.lua:keypressed    178
src/scenes/gameplay_scene.lua:keypressed 178
src/managers/input_manager.lua:keypressed 178
src/libs/lovebird.lua:parseurl           234
src/libs/lovebird.lua:onconnect          235
[C]:gmatch                               1734
[C]:wrap                                 235
src/libs/lovebird.lua:unescape           351
src/libs/lovebird.lua:onrequest          234
src/libs/lovebird.lua:receive            3745
src/libs/lovebird.lua:recalcbuffer       933
src/managers/player_manager.lua:invalidateStatsCache 1
src/libs/lovebird.lua:echo               37525
[C]:insert                               68266
src/libs/lovebird.lua:map                1167
[C]:ipairs                               24366
src/managers/lobby_portal_manager.lua:initialize 1
[C]:(for generator)                      312955
src/managers/item_data_manager.lua:getBaseItemData 11
[C]:tostring                             64112
[C]:close                                234
src/scenes/lobby_scene.lua:draw          171
[C]:step                                 766
[C]:yield                                1033
[C]:xpcall                               1235
[C]:getPosition                          831
[C]:pump                                 766
src/ui/screens/portal_screen.lua:draw    190
[love "wrap_Event.lua"]:poll             766
[C]:setShader                            380
src/core/scene_manager.lua:mousemoved    120
main.lua:update                          765
src/core/scene_manager.lua:update        765
src/scenes/game_loading_scene.lua:draw   30
src/managers/enemy_manager.lua:setupGameplay 1
[C]:setLineWidth                         3728
src/ui/boss_health_bar.lua:init          1
src/managers/enemy_manager.lua:calculateMinorSpawnInterval 6
[C]:calculateMinorSpawnInterval          6
[socket "socket.lua"]:bind               1
src/scenes/gameplay_scene.lua:draw       453
[C]:setBackgroundColor                   453
[C]:setoption                            1
src/animations/animation_loader.lua:loadAll 1
src/managers/item_data_manager.lua:_loadDataFile 4
src/animations/sprite_player.lua:load    2
src/managers/player_manager.lua:collectRenderables 453
[C]:getsockname                          471
src/managers/enemy_manager.lua:collectRenderables 453
src/managers/item_data_manager.lua:init  1
src/managers/drop_manager.lua:collectRenderables 453
src/config/camera.lua:setPosition        1
src/managers/experience_orb_manager.lua:collectRenderables 453
src/managers/drop_manager.lua:createDrop 1
src/config/camera.lua:attach             453
[C]:push                                 4086
[C]:translate                            4532
[C]:scale                                907
[C]:rotate                               453
src/managers/player_manager.lua:drawFunction 453
[love "RandomGenerator.lua"]:random      2
src/animations/sprite_player.lua:draw    184
[C]:pop                                  4086
[C]:ellipse                              380
src/abilities/player/attacks/chain_lightning.lua:draw 453
[string "pages.env.json"]:fn             117
[C]:sort                                 591
[C]:cos                                  7688
[C]:sin                                  7731
src/libs/lovebird.lua:htmlescape         5332
src/libs/lovebird.lua:truncate           5227
[C]:getTime                              3302
[C]:line                                 3303
src/scenes/lobby_scene.lua:update        189
[love "wrap_Math.lua"]:random            1
src/entities/drop_entity.lua:new         1
src/managers/drop_manager.lua:_getDropVisualSettings 1
[C]:gsub                                 339919
src/libs/lovebird.lua:template           3
src/scenes/game_loading_scene.lua:update 31
[C]:settimeout                           236
[C]:assert                               4
[C]:listen                               1
src/animations/level_up_animation.lua:new 1
[C]:bind                                 1
[C]:tcp4                                 1
[C]:getaddrinfo                          1
src/libs/lovebird.lua:init               1
src/libs/lovebird.lua:update             765
src/scenes/bootloader_scene.lua:update   93
[C]:newQuad                              3969
src/animations/animated_skeleton.lua:load 1
[C]:sub                                  10
[string "pages.buffer"]:fn               117
src/managers/player_manager.lua:new      1
src/managers/lobby_portal_manager.lua:draw 174
[C]:receive                              3777
src/items/weapons/base_weapon.lua:equip  1
src/items/weapons/base_weapon.lua:getBaseData 2
src/managers/player_manager.lua:getTableSize 1
src/ui/level_up_modal.lua:init           1
src/managers/player_manager.lua:getCurrentFinalStats 2508
src/config/camera.lua:new                1
src/config/camera.lua:init               2
src/managers/loadout_manager.lua:new     1
src/managers/lobby_storage_manager.lua:getTotalSections 1
src/managers/item_data_manager.lua:getBaseData 2
src/managers/manager_registry.lua:get    4930
src/ui/ui_elements.lua:drawTabButton     568
src/managers/lobby_portal_manager.lua:new 1
[C]:__index                              1
src/core/persistence_manager.lua:loadData 3
src/managers/chunk_manager.lua:unloadChunk 1500
src/ui/screens/equipment_screen.lua:new  1
src/ui/screens/portal_screen.lua:new     1
